Start,End,Path
"(99.0, 118.0)","(97.0, 118.0)","[(99.0, 118.0), (98.0, 118.0), (97.0, 118.0)]"
"(99.0, 118.0)","(99.0, 134.0)","[(99.0, 118.0), (99.0, 119.0), (99.0, 120.0), (99.0, 121.0), (99.0, 122.0), (99.0, 123.0), (99.0, 124.0), (99.0, 125.0), (99.0, 126.0), (99.0, 127.0), (99.0, 128.0), (99.0, 129.0), (99.0, 130.0), (99.0, 131.0), (99.0, 132.0), (99.0, 133.0), (99.0, 134.0)]"
"(143.0, 118.0)","(159.0, 118.0)","[(143.0, 118.0), (144.0, 118.0), (145.0, 118.0), (146.0, 118.0), (147.0, 118.0), (148.0, 118.0), (149.0, 118.0), (150.0, 118.0), (151.0, 118.0), (152.0, 118.0), (153.0, 118.0), (154.0, 118.0), (155.0, 118.0), (156.0, 118.0), (157.0, 118.0), (158.0, 118.0), (159.0, 118.0)]"
"(159.0, 118.0)","(167.0, 118.0)","[(159.0, 118.0), (160.0, 118.0), (161.0, 118.0), (162.0, 118.0), (163.0, 118.0), (164.0, 118.0), (165.0, 118.0), (166.0, 118.0), (167.0, 118.0)]"
"(159.0, 118.0)","(111.0, 82.0)","[(159.0, 118.0), (159.0, 117.0), (159.0, 116.0), (159.0, 115.0), (159.0, 114.0), (159.0, 113.0), (159.0, 112.0), (159.0, 111.0), (159.0, 110.0), (159.0, 109.0), (159.0, 108.0), (159.0, 107.0), (159.0, 106.0), (159.0, 105.0), (159.0, 104.0), (159.0, 103.0), (159.0, 102.0), (159.0, 101.0), (159.0, 100.0), (159.0, 99.0), (159.0, 98.0), (159.0, 97.0), (159.0, 96.0), (158.0, 96.0), (158.0, 95.0), (158.0, 94.0), (158.0, 93.0), (158.0, 92.0), (158.0, 91.0), (158.0, 90.0), (158.0, 89.0), (158.0, 88.0), (158.0, 87.0), (158.0, 86.0), (158.0, 85.0), (158.0, 84.0), (158.0, 83.0), (158.0, 82.0), (159.0, 82.0), (158.0, 82.0), (157.0, 82.0), (156.0, 82.0), (155.0, 82.0), (154.0, 82.0), (153.0, 82.0), (152.0, 82.0), (151.0, 82.0), (150.0, 82.0), (149.0, 82.0), (148.0, 82.0), (147.0, 82.0), (147.0, 83.0), (147.0, 84.0), (146.0, 84.0), (145.0, 84.0), (144.0, 84.0), (143.0, 84.0), (142.0, 84.0), (141.0, 84.0), (140.0, 84.0), (139.0, 84.0), (138.0, 84.0), (137.0, 84.0), (136.0, 84.0), (135.0, 84.0), (134.0, 84.0), (133.0, 84.0), (132.0, 84.0), (131.0, 84.0), (130.0, 84.0), (129.0, 84.0), (128.0, 84.0), (127.0, 84.0), (126.0, 84.0), (125.0, 84.0), (124.0, 84.0), (123.0, 84.0), (122.0, 84.0), (121.0, 84.0), (120.0, 84.0), (119.0, 84.0), (118.0, 84.0), (117.0, 84.0), (116.0, 84.0), (115.0, 84.0), (114.0, 84.0), (113.0, 84.0), (112.0, 84.0), (111.0, 84.0), (111.0, 83.0), (111.0, 82.0)]"
"(159.0, 80.0)","(143.0, 94.0)","[(159.0, 80.0), (159.0, 81.0), (159.0, 82.0), (159.0, 83.0), (159.0, 84.0), (159.0, 85.0), (159.0, 86.0), (159.0, 87.0), (159.0, 88.0), (159.0, 89.0), (159.0, 90.0), (159.0, 91.0), (159.0, 92.0), (159.0, 93.0), (159.0, 94.0), (158.0, 94.0), (157.0, 94.0), (156.0, 94.0), (155.0, 94.0), (154.0, 94.0), (153.0, 94.0), (152.0, 94.0), (151.0, 94.0), (150.0, 94.0), (149.0, 94.0), (148.0, 94.0), (147.0, 94.0), (146.0, 94.0), (145.0, 94.0), (144.0, 94.0), (143.0, 94.0)]"
"(143.0, 94.0)","(165.0, 116.0)","[(143.0, 94.0), (143.0, 95.0), (143.0, 96.0), (143.0, 97.0), (143.0, 98.0), (143.0, 99.0), (143.0, 100.0), (143.0, 101.0), (143.0, 102.0), (143.0, 103.0), (143.0, 104.0), (143.0, 105.0), (143.0, 106.0), (143.0, 107.0), (143.0, 108.0), (143.0, 109.0), (143.0, 110.0), (143.0, 111.0), (143.0, 112.0), (143.0, 113.0), (143.0, 114.0), (143.0, 115.0), (143.0, 116.0), (144.0, 116.0), (145.0, 116.0), (146.0, 116.0), (147.0, 116.0), (148.0, 116.0), (149.0, 116.0), (150.0, 116.0), (151.0, 116.0), (152.0, 116.0), (153.0, 116.0), (154.0, 116.0), (155.0, 116.0), (156.0, 116.0), (157.0, 116.0), (158.0, 116.0), (159.0, 116.0), (160.0, 116.0), (161.0, 116.0), (162.0, 116.0), (163.0, 116.0), (164.0, 116.0), (165.0, 116.0)]"
"(143.0, 94.0)","(111.0, 82.0)","[(143.0, 94.0), (142.0, 94.0), (141.0, 94.0), (140.0, 94.0), (139.0, 94.0), (138.0, 94.0), (137.0, 94.0), (136.0, 94.0), (135.0, 94.0), (134.0, 94.0), (133.0, 94.0), (132.0, 94.0), (131.0, 94.0), (130.0, 94.0), (129.0, 94.0), (128.0, 94.0), (127.0, 94.0), (126.0, 94.0), (125.0, 94.0), (124.0, 94.0), (123.0, 94.0), (122.0, 94.0), (121.0, 94.0), (120.0, 94.0), (119.0, 94.0), (118.0, 94.0), (117.0, 94.0), (116.0, 94.0), (115.0, 94.0), (114.0, 94.0), (113.0, 94.0), (112.0, 94.0), (111.0, 94.0), (111.0, 93.0), (111.0, 92.0), (111.0, 91.0), (111.0, 90.0), (111.0, 89.0), (111.0, 88.0), (111.0, 87.0), (111.0, 86.0), (111.0, 85.0), (110.0, 85.0), (110.0, 84.0), (110.0, 83.0), (110.0, 82.0), (111.0, 82.0)]"
"(87.0, 60.0)","(105.0, 118.0)","[(87.0, 60.0), (87.0, 61.0), (87.0, 62.0), (87.0, 63.0), (87.0, 64.0), (88.0, 64.0), (89.0, 64.0), (90.0, 64.0), (91.0, 64.0), (92.0, 64.0), (93.0, 64.0), (94.0, 64.0), (95.0, 64.0), (96.0, 64.0), (97.0, 64.0), (98.0, 64.0), (99.0, 64.0), (100.0, 64.0), (101.0, 64.0), (102.0, 64.0), (103.0, 64.0), (103.0, 63.0), (104.0, 63.0), (105.0, 63.0), (106.0, 63.0), (107.0, 63.0), (107.0, 62.0), (108.0, 62.0), (109.0, 62.0), (110.0, 62.0), (111.0, 62.0), (112.0, 62.0), (113.0, 62.0), (114.0, 62.0), (115.0, 62.0), (116.0, 62.0), (117.0, 62.0), (118.0, 62.0), (119.0, 62.0), (120.0, 62.0), (121.0, 62.0), (122.0, 62.0), (123.0, 62.0), (124.0, 62.0), (125.0, 62.0), (126.0, 62.0), (127.0, 62.0), (128.0, 62.0), (129.0, 62.0), (130.0, 62.0), (131.0, 62.0), (132.0, 62.0), (133.0, 62.0), (134.0, 62.0), (135.0, 62.0), (135.0, 63.0), (135.0, 64.0), (135.0, 65.0), (135.0, 66.0), (135.0, 67.0), (135.0, 68.0), (135.0, 69.0), (135.0, 70.0), (135.0, 71.0), (135.0, 72.0), (135.0, 73.0), (135.0, 74.0), (135.0, 75.0), (135.0, 76.0), (135.0, 77.0), (135.0, 78.0), (135.0, 79.0), (136.0, 79.0), (136.0, 80.0), (137.0, 80.0), (138.0, 80.0), (138.0, 81.0), (138.0, 82.0), (138.0, 83.0), (138.0, 84.0), (138.0, 85.0), (137.0, 85.0), (136.0, 85.0), (135.0, 85.0), (135.0, 84.0), (135.0, 83.0), (135.0, 82.0), (134.0, 82.0), (134.0, 83.0), (134.0, 84.0), (134.0, 85.0), (134.0, 86.0), (134.0, 87.0), (134.0, 88.0), (134.0, 89.0), (134.0, 90.0), (134.0, 91.0), (134.0, 92.0), (134.0, 93.0), (134.0, 94.0), (134.0, 95.0), (134.0, 96.0), (134.0, 97.0), (134.0, 98.0), (134.0, 99.0), (134.0, 100.0), (134.0, 101.0), (134.0, 102.0), (134.0, 103.0), (134.0, 104.0), (134.0, 105.0), (134.0, 106.0), (134.0, 107.0), (134.0, 108.0), (134.0, 109.0), (134.0, 110.0), (134.0, 111.0), (134.0, 112.0), (134.0, 113.0), (134.0, 114.0), (134.0, 115.0), (134.0, 116.0), (134.0, 117.0), (134.0, 118.0), (135.0, 118.0), (134.0, 118.0), (133.0, 118.0), (133.0, 119.0), (133.0, 120.0), (133.0, 121.0), (133.0, 122.0), (133.0, 123.0), (133.0, 124.0), (133.0, 125.0), (133.0, 126.0), (133.0, 127.0), (133.0, 128.0), (133.0, 129.0), (133.0, 130.0), (133.0, 131.0), (133.0, 132.0), (132.0, 132.0), (131.0, 132.0), (130.0, 132.0), (129.0, 132.0), (128.0, 132.0), (127.0, 132.0), (126.0, 132.0), (125.0, 132.0), (124.0, 132.0), (123.0, 132.0), (122.0, 132.0), (121.0, 132.0), (120.0, 132.0), (119.0, 132.0), (118.0, 132.0), (117.0, 132.0), (116.0, 132.0), (115.0, 132.0), (114.0, 132.0), (113.0, 132.0), (112.0, 132.0), (111.0, 132.0), (110.0, 132.0), (109.0, 132.0), (108.0, 132.0), (107.0, 132.0), (106.0, 132.0), (105.0, 132.0), (104.0, 132.0), (103.0, 132.0), (103.0, 131.0), (103.0, 130.0), (103.0, 129.0), (103.0, 128.0), (103.0, 127.0), (103.0, 126.0), (103.0, 125.0), (103.0, 124.0), (103.0, 123.0), (103.0, 122.0), (103.0, 121.0), (104.0, 121.0), (105.0, 121.0), (105.0, 120.0), (105.0, 119.0), (105.0, 118.0)]"
"(101.0, 62.0)","(91.0, 82.0)","[(101.0, 62.0), (100.0, 62.0), (99.0, 62.0), (99.0, 63.0), (98.0, 63.0), (97.0, 63.0), (96.0, 63.0), (95.0, 63.0), (94.0, 63.0), (93.0, 63.0), (92.0, 63.0), (91.0, 63.0), (91.0, 64.0), (91.0, 65.0), (91.0, 66.0), (91.0, 67.0), (91.0, 68.0), (91.0, 69.0), (91.0, 70.0), (91.0, 71.0), (91.0, 72.0), (91.0, 73.0), (91.0, 74.0), (91.0, 75.0), (91.0, 76.0), (91.0, 77.0), (91.0, 78.0), (91.0, 79.0), (91.0, 80.0), (91.0, 81.0), (91.0, 82.0)]"
