Start,End,Path
"(141.0, 122.0)","(25.0, 98.0)","[(141.0, 122.0), (140.0, 122.0), (139.0, 122.0), (138.0, 122.0), (137.0, 122.0), (136.0, 122.0), (135.0, 122.0), (134.0, 122.0), (133.0, 122.0), (132.0, 122.0), (131.0, 122.0), (130.0, 122.0), (129.0, 122.0), (128.0, 122.0), (127.0, 122.0), (126.0, 122.0), (125.0, 122.0), (124.0, 122.0), (123.0, 122.0), (122.0, 122.0), (121.0, 122.0), (120.0, 122.0), (119.0, 122.0), (118.0, 122.0), (117.0, 122.0), (116.0, 122.0), (115.0, 122.0), (114.0, 122.0), (113.0, 122.0), (112.0, 122.0), (111.0, 122.0), (110.0, 122.0), (109.0, 122.0), (108.0, 122.0), (107.0, 122.0), (106.0, 122.0), (105.0, 122.0), (104.0, 122.0), (103.0, 122.0), (102.0, 122.0), (101.0, 122.0), (100.0, 122.0), (99.0, 122.0), (98.0, 122.0), (97.0, 122.0), (96.0, 122.0), (95.0, 122.0), (95.0, 121.0), (94.0, 121.0), (93.0, 121.0), (92.0, 121.0), (91.0, 121.0), (90.0, 121.0), (89.0, 121.0), (88.0, 121.0), (87.0, 121.0), (86.0, 121.0), (85.0, 121.0), (84.0, 121.0), (83.0, 121.0), (82.0, 121.0), (81.0, 121.0), (80.0, 121.0), (79.0, 121.0), (78.0, 121.0), (77.0, 121.0), (76.0, 121.0), (75.0, 121.0), (74.0, 121.0), (73.0, 121.0), (72.0, 121.0), (71.0, 121.0), (70.0, 121.0), (69.0, 121.0), (68.0, 121.0), (67.0, 121.0), (66.0, 121.0), (65.0, 121.0), (64.0, 121.0), (63.0, 121.0), (62.0, 121.0), (61.0, 121.0), (60.0, 121.0), (59.0, 121.0), (58.0, 121.0), (57.0, 121.0), (56.0, 121.0), (55.0, 121.0), (54.0, 121.0), (53.0, 121.0), (52.0, 121.0), (51.0, 121.0), (50.0, 121.0), (49.0, 121.0), (48.0, 121.0), (47.0, 121.0), (46.0, 121.0), (45.0, 121.0), (44.0, 121.0), (43.0, 121.0), (42.0, 121.0), (41.0, 121.0), (40.0, 121.0), (39.0, 121.0), (38.0, 121.0), (37.0, 121.0), (36.0, 121.0), (35.0, 121.0), (34.0, 121.0), (33.0, 121.0), (32.0, 121.0), (31.0, 121.0), (30.0, 121.0), (29.0, 121.0), (28.0, 121.0), (27.0, 121.0), (26.0, 121.0), (25.0, 121.0), (25.0, 120.0), (25.0, 119.0), (25.0, 118.0), (25.0, 117.0), (25.0, 116.0), (25.0, 115.0), (25.0, 114.0), (25.0, 113.0), (25.0, 112.0), (25.0, 111.0), (25.0, 110.0), (25.0, 109.0), (25.0, 108.0), (25.0, 107.0), (25.0, 106.0), (25.0, 105.0), (25.0, 104.0), (25.0, 103.0), (25.0, 102.0), (25.0, 101.0), (25.0, 100.0), (25.0, 99.0), (25.0, 98.0)]"
"(9.0, 98.0)","(11.0, 84.0)","[(9.0, 98.0), (9.0, 97.0), (9.0, 96.0), (9.0, 95.0), (9.0, 94.0), (9.0, 93.0), (9.0, 92.0), (9.0, 91.0), (9.0, 90.0), (9.0, 89.0), (9.0, 88.0), (9.0, 87.0), (9.0, 86.0), (9.0, 85.0), (9.0, 84.0), (10.0, 84.0), (11.0, 84.0)]"
"(93.0, 58.0)","(71.0, 58.0)","[(93.0, 58.0), (92.0, 58.0), (91.0, 58.0), (90.0, 58.0), (89.0, 58.0), (88.0, 58.0), (87.0, 58.0), (87.0, 57.0), (86.0, 57.0), (85.0, 57.0), (84.0, 57.0), (83.0, 57.0), (82.0, 57.0), (81.0, 57.0), (80.0, 57.0), (79.0, 57.0), (78.0, 57.0), (77.0, 57.0), (76.0, 57.0), (75.0, 57.0), (74.0, 57.0), (73.0, 57.0), (72.0, 57.0), (71.0, 57.0), (71.0, 58.0)]"
"(71.0, 58.0)","(71.0, 82.0)","[(71.0, 58.0), (71.0, 59.0), (71.0, 60.0), (71.0, 61.0), (71.0, 62.0), (71.0, 63.0), (71.0, 64.0), (71.0, 65.0), (71.0, 66.0), (71.0, 67.0), (71.0, 68.0), (71.0, 69.0), (71.0, 70.0), (71.0, 71.0), (71.0, 72.0), (71.0, 73.0), (71.0, 74.0), (71.0, 75.0), (71.0, 76.0), (71.0, 77.0), (71.0, 78.0), (71.0, 79.0), (71.0, 80.0), (71.0, 81.0), (71.0, 82.0)]"
"(71.0, 58.0)","(31.0, 24.0)","[(71.0, 58.0), (70.0, 58.0), (69.0, 58.0), (68.0, 58.0), (67.0, 58.0), (66.0, 58.0), (65.0, 58.0), (64.0, 58.0), (63.0, 58.0), (62.0, 58.0), (61.0, 58.0), (60.0, 58.0), (59.0, 58.0), (58.0, 58.0), (57.0, 58.0), (56.0, 58.0), (55.0, 58.0), (54.0, 58.0), (53.0, 58.0), (52.0, 58.0), (51.0, 58.0), (50.0, 58.0), (49.0, 58.0), (48.0, 58.0), (47.0, 58.0), (46.0, 58.0), (45.0, 58.0), (44.0, 58.0), (43.0, 58.0), (42.0, 58.0), (41.0, 58.0), (40.0, 58.0), (39.0, 58.0), (38.0, 58.0), (37.0, 58.0), (36.0, 58.0), (35.0, 58.0), (34.0, 58.0), (33.0, 58.0), (32.0, 58.0), (31.0, 58.0), (31.0, 57.0), (31.0, 56.0), (31.0, 55.0), (31.0, 54.0), (31.0, 53.0), (31.0, 52.0), (31.0, 51.0), (31.0, 50.0), (31.0, 49.0), (31.0, 48.0), (31.0, 47.0), (31.0, 46.0), (31.0, 45.0), (31.0, 44.0), (31.0, 43.0), (31.0, 42.0), (31.0, 41.0), (31.0, 40.0), (31.0, 39.0), (31.0, 38.0), (31.0, 37.0), (31.0, 36.0), (31.0, 35.0), (31.0, 34.0), (31.0, 33.0), (31.0, 32.0), (31.0, 31.0), (31.0, 30.0), (31.0, 29.0), (31.0, 28.0), (31.0, 27.0), (31.0, 26.0), (31.0, 25.0), (31.0, 24.0)]"
"(139.0, 60.0)","(69.0, 26.0)","[(139.0, 60.0), (138.0, 60.0), (138.0, 59.0), (137.0, 59.0), (136.0, 59.0), (135.0, 59.0), (134.0, 59.0), (133.0, 59.0), (132.0, 59.0), (131.0, 59.0), (130.0, 59.0), (129.0, 59.0), (128.0, 59.0), (127.0, 59.0), (126.0, 59.0), (125.0, 59.0), (124.0, 59.0), (123.0, 59.0), (122.0, 59.0), (121.0, 59.0), (120.0, 59.0), (119.0, 59.0), (118.0, 59.0), (117.0, 59.0), (116.0, 59.0), (115.0, 59.0), (114.0, 59.0), (113.0, 59.0), (112.0, 59.0), (111.0, 59.0), (110.0, 59.0), (109.0, 59.0), (108.0, 59.0), (107.0, 59.0), (106.0, 59.0), (105.0, 59.0), (104.0, 59.0), (103.0, 59.0), (102.0, 59.0), (101.0, 59.0), (100.0, 59.0), (99.0, 59.0), (98.0, 59.0), (97.0, 59.0), (96.0, 59.0), (95.0, 59.0), (94.0, 59.0), (93.0, 59.0), (92.0, 59.0), (91.0, 59.0), (90.0, 59.0), (89.0, 59.0), (88.0, 59.0), (87.0, 59.0), (86.0, 59.0), (85.0, 59.0), (84.0, 59.0), (83.0, 59.0), (82.0, 59.0), (81.0, 59.0), (80.0, 59.0), (79.0, 59.0), (79.0, 58.0), (79.0, 57.0), (79.0, 56.0), (78.0, 56.0), (77.0, 56.0), (76.0, 56.0), (75.0, 56.0), (74.0, 56.0), (73.0, 56.0), (72.0, 56.0), (71.0, 56.0), (70.0, 56.0), (69.0, 56.0), (69.0, 55.0), (69.0, 54.0), (69.0, 53.0), (69.0, 52.0), (69.0, 51.0), (69.0, 50.0), (69.0, 49.0), (69.0, 48.0), (69.0, 47.0), (69.0, 46.0), (69.0, 45.0), (69.0, 44.0), (69.0, 43.0), (69.0, 42.0), (69.0, 41.0), (69.0, 40.0), (69.0, 39.0), (69.0, 38.0), (69.0, 37.0), (69.0, 36.0), (69.0, 35.0), (69.0, 34.0), (69.0, 33.0), (69.0, 32.0), (69.0, 31.0), (69.0, 30.0), (69.0, 29.0), (69.0, 28.0), (69.0, 27.0), (69.0, 26.0)]"
"(57.0, 94.0)","(15.0, 60.0)","[(57.0, 94.0), (56.0, 94.0), (55.0, 94.0), (54.0, 94.0), (53.0, 94.0), (52.0, 94.0), (51.0, 94.0), (50.0, 94.0), (49.0, 94.0), (48.0, 94.0), (47.0, 94.0), (46.0, 94.0), (45.0, 94.0), (44.0, 94.0), (43.0, 94.0), (42.0, 94.0), (41.0, 94.0), (40.0, 94.0), (39.0, 94.0), (38.0, 94.0), (37.0, 94.0), (36.0, 94.0), (35.0, 94.0), (34.0, 94.0), (33.0, 94.0), (32.0, 94.0), (31.0, 94.0), (30.0, 94.0), (29.0, 94.0), (28.0, 94.0), (27.0, 94.0), (26.0, 94.0), (25.0, 94.0), (24.0, 94.0), (23.0, 94.0), (22.0, 94.0), (21.0, 94.0), (20.0, 94.0), (19.0, 94.0), (18.0, 94.0), (17.0, 94.0), (16.0, 94.0), (15.0, 94.0), (15.0, 93.0), (15.0, 92.0), (15.0, 91.0), (15.0, 90.0), (15.0, 89.0), (15.0, 88.0), (15.0, 87.0), (15.0, 86.0), (15.0, 85.0), (15.0, 84.0), (15.0, 83.0), (15.0, 82.0), (15.0, 81.0), (15.0, 80.0), (15.0, 79.0), (15.0, 78.0), (15.0, 77.0), (15.0, 76.0), (15.0, 75.0), (15.0, 74.0), (15.0, 73.0), (15.0, 72.0), (15.0, 71.0), (15.0, 70.0), (15.0, 69.0), (15.0, 68.0), (15.0, 67.0), (15.0, 66.0), (15.0, 65.0), (15.0, 64.0), (15.0, 63.0), (15.0, 62.0), (15.0, 61.0), (15.0, 60.0)]"
"(5.0, 78.0)","(37.0, 64.0)","[(5.0, 78.0), (5.0, 77.0), (5.0, 76.0), (5.0, 75.0), (5.0, 74.0), (5.0, 73.0), (5.0, 72.0), (5.0, 71.0), (5.0, 70.0), (5.0, 69.0), (5.0, 68.0), (5.0, 67.0), (5.0, 66.0), (5.0, 65.0), (5.0, 64.0), (6.0, 64.0), (7.0, 64.0), (8.0, 64.0), (9.0, 64.0), (10.0, 64.0), (11.0, 64.0), (12.0, 64.0), (13.0, 64.0), (14.0, 64.0), (15.0, 64.0), (16.0, 64.0), (17.0, 64.0), (18.0, 64.0), (19.0, 64.0), (20.0, 64.0), (21.0, 64.0), (22.0, 64.0), (23.0, 64.0), (24.0, 64.0), (25.0, 64.0), (26.0, 64.0), (27.0, 64.0), (28.0, 64.0), (29.0, 64.0), (30.0, 64.0), (31.0, 64.0), (32.0, 64.0), (33.0, 64.0), (34.0, 64.0), (35.0, 64.0), (36.0, 64.0), (37.0, 64.0)]"
"(25.0, 28.0)","(53.0, 62.0)","[(25.0, 28.0), (25.0, 29.0), (25.0, 30.0), (25.0, 31.0), (25.0, 32.0), (25.0, 33.0), (25.0, 34.0), (25.0, 35.0), (25.0, 36.0), (25.0, 37.0), (25.0, 38.0), (25.0, 39.0), (25.0, 40.0), (26.0, 40.0), (27.0, 40.0), (28.0, 40.0), (29.0, 40.0), (30.0, 40.0), (31.0, 40.0), (32.0, 40.0), (33.0, 40.0), (34.0, 40.0), (35.0, 40.0), (36.0, 40.0), (37.0, 40.0), (38.0, 40.0), (39.0, 40.0), (40.0, 40.0), (41.0, 40.0), (42.0, 40.0), (43.0, 40.0), (44.0, 40.0), (45.0, 40.0), (46.0, 40.0), (47.0, 40.0), (48.0, 40.0), (49.0, 40.0), (50.0, 40.0), (51.0, 40.0), (52.0, 40.0), (53.0, 40.0), (53.0, 41.0), (53.0, 42.0), (53.0, 43.0), (53.0, 44.0), (53.0, 45.0), (53.0, 46.0), (53.0, 47.0), (53.0, 48.0), (53.0, 49.0), (53.0, 50.0), (53.0, 51.0), (53.0, 52.0), (53.0, 53.0), (53.0, 54.0), (53.0, 55.0), (53.0, 56.0), (53.0, 57.0), (53.0, 58.0), (53.0, 59.0), (53.0, 60.0), (53.0, 61.0), (53.0, 62.0)]"
"(153.0, 76.0)","(155.0, 28.0)","[(153.0, 76.0), (153.0, 75.0), (153.0, 74.0), (153.0, 73.0), (153.0, 72.0), (153.0, 71.0), (153.0, 70.0), (153.0, 69.0), (153.0, 68.0), (153.0, 67.0), (153.0, 66.0), (153.0, 65.0), (153.0, 64.0), (153.0, 63.0), (153.0, 62.0), (153.0, 61.0), (153.0, 60.0), (153.0, 59.0), (153.0, 58.0), (153.0, 57.0), (153.0, 56.0), (153.0, 55.0), (153.0, 54.0), (153.0, 53.0), (153.0, 52.0), (153.0, 51.0), (153.0, 50.0), (153.0, 49.0), (153.0, 48.0), (153.0, 47.0), (153.0, 46.0), (153.0, 45.0), (153.0, 44.0), (153.0, 43.0), (153.0, 42.0), (153.0, 41.0), (153.0, 40.0), (153.0, 39.0), (153.0, 38.0), (153.0, 37.0), (153.0, 36.0), (153.0, 35.0), (153.0, 34.0), (153.0, 33.0), (153.0, 32.0), (153.0, 31.0), (153.0, 30.0), (153.0, 29.0), (153.0, 28.0), (154.0, 28.0), (155.0, 28.0)]"
"(143.0, 76.0)","(171.0, 28.0)","[(143.0, 76.0), (143.0, 75.0), (143.0, 74.0), (143.0, 73.0), (143.0, 72.0), (143.0, 71.0), (143.0, 70.0), (143.0, 69.0), (143.0, 68.0), (143.0, 67.0), (143.0, 66.0), (143.0, 65.0), (143.0, 64.0), (143.0, 63.0), (143.0, 62.0), (143.0, 61.0), (143.0, 60.0), (143.0, 59.0), (143.0, 58.0), (143.0, 57.0), (143.0, 56.0), (143.0, 55.0), (143.0, 54.0), (143.0, 53.0), (143.0, 52.0), (143.0, 51.0), (143.0, 50.0), (143.0, 49.0), (143.0, 48.0), (143.0, 47.0), (143.0, 46.0), (143.0, 45.0), (143.0, 44.0), (143.0, 43.0), (143.0, 42.0), (143.0, 41.0), (143.0, 40.0), (143.0, 39.0), (143.0, 38.0), (143.0, 37.0), (143.0, 36.0), (143.0, 35.0), (143.0, 34.0), (143.0, 33.0), (143.0, 32.0), (143.0, 31.0), (143.0, 30.0), (143.0, 29.0), (144.0, 29.0), (145.0, 29.0), (146.0, 29.0), (147.0, 29.0), (148.0, 29.0), (149.0, 29.0), (150.0, 29.0), (151.0, 29.0), (152.0, 29.0), (153.0, 29.0), (154.0, 29.0), (155.0, 29.0), (156.0, 29.0), (156.0, 28.0), (157.0, 28.0), (158.0, 28.0), (159.0, 28.0), (160.0, 28.0), (161.0, 28.0), (162.0, 28.0), (163.0, 28.0), (164.0, 28.0), (165.0, 28.0), (166.0, 28.0), (167.0, 28.0), (168.0, 28.0), (169.0, 28.0), (170.0, 28.0), (171.0, 28.0)]"
"(55.0, 12.0)","(5.0, 58.0)","[(55.0, 12.0), (54.0, 12.0), (53.0, 12.0), (52.0, 12.0), (51.0, 12.0), (50.0, 12.0), (49.0, 12.0), (48.0, 12.0), (47.0, 12.0), (46.0, 12.0), (45.0, 12.0), (44.0, 12.0), (43.0, 12.0), (42.0, 12.0), (41.0, 12.0), (40.0, 12.0), (39.0, 12.0), (38.0, 12.0), (37.0, 12.0), (36.0, 12.0), (35.0, 12.0), (34.0, 12.0), (33.0, 12.0), (32.0, 12.0), (31.0, 12.0), (30.0, 12.0), (29.0, 12.0), (28.0, 12.0), (27.0, 12.0), (26.0, 12.0), (25.0, 12.0), (24.0, 12.0), (23.0, 12.0), (22.0, 12.0), (21.0, 12.0), (20.0, 12.0), (19.0, 12.0), (18.0, 12.0), (17.0, 12.0), (16.0, 12.0), (15.0, 12.0), (14.0, 12.0), (13.0, 12.0), (12.0, 12.0), (11.0, 12.0), (10.0, 12.0), (9.0, 12.0), (8.0, 12.0), (7.0, 12.0), (6.0, 12.0), (5.0, 12.0), (5.0, 13.0), (5.0, 14.0), (5.0, 15.0), (5.0, 16.0), (5.0, 17.0), (5.0, 18.0), (5.0, 19.0), (5.0, 20.0), (5.0, 21.0), (5.0, 22.0), (5.0, 23.0), (5.0, 24.0), (5.0, 25.0), (5.0, 26.0), (5.0, 27.0), (5.0, 28.0), (5.0, 29.0), (5.0, 30.0), (5.0, 31.0), (5.0, 32.0), (5.0, 33.0), (5.0, 34.0), (5.0, 35.0), (5.0, 36.0), (5.0, 37.0), (5.0, 38.0), (5.0, 39.0), (5.0, 40.0), (5.0, 41.0), (5.0, 42.0), (5.0, 43.0), (5.0, 44.0), (5.0, 45.0), (5.0, 46.0), (5.0, 47.0), (5.0, 48.0), (5.0, 49.0), (5.0, 50.0), (5.0, 51.0), (5.0, 52.0), (5.0, 53.0), (5.0, 54.0), (5.0, 55.0), (5.0, 56.0), (5.0, 57.0), (5.0, 58.0)]"
"(21.0, 22.0)","(33.0, 10.0)","[(21.0, 22.0), (21.0, 21.0), (21.0, 20.0), (21.0, 19.0), (21.0, 18.0), (21.0, 17.0), (21.0, 16.0), (21.0, 15.0), (21.0, 14.0), (21.0, 13.0), (21.0, 12.0), (21.0, 11.0), (21.0, 10.0), (22.0, 10.0), (23.0, 10.0), (24.0, 10.0), (25.0, 10.0), (26.0, 10.0), (27.0, 10.0), (28.0, 10.0), (29.0, 10.0), (30.0, 10.0), (31.0, 10.0), (32.0, 10.0), (33.0, 10.0)]"
"(127.0, 24.0)","(17.0, 10.0)","[(127.0, 24.0), (126.0, 24.0), (125.0, 24.0), (124.0, 24.0), (123.0, 24.0), (122.0, 24.0), (121.0, 24.0), (120.0, 24.0), (119.0, 24.0), (118.0, 24.0), (117.0, 24.0), (116.0, 24.0), (115.0, 24.0), (114.0, 24.0), (113.0, 24.0), (112.0, 24.0), (111.0, 24.0), (110.0, 24.0), (109.0, 24.0), (108.0, 24.0), (107.0, 24.0), (106.0, 24.0), (105.0, 24.0), (104.0, 24.0), (103.0, 24.0), (102.0, 24.0), (101.0, 24.0), (100.0, 24.0), (99.0, 24.0), (98.0, 24.0), (97.0, 24.0), (97.0, 23.0), (96.0, 23.0), (95.0, 23.0), (94.0, 23.0), (93.0, 23.0), (92.0, 23.0), (91.0, 23.0), (90.0, 23.0), (89.0, 23.0), (88.0, 23.0), (87.0, 23.0), (86.0, 23.0), (85.0, 23.0), (84.0, 23.0), (83.0, 23.0), (82.0, 23.0), (81.0, 23.0), (80.0, 23.0), (79.0, 23.0), (78.0, 23.0), (77.0, 23.0), (76.0, 23.0), (75.0, 23.0), (74.0, 23.0), (73.0, 23.0), (72.0, 23.0), (71.0, 23.0), (70.0, 23.0), (69.0, 23.0), (68.0, 23.0), (67.0, 23.0), (66.0, 23.0), (65.0, 23.0), (64.0, 23.0), (63.0, 23.0), (62.0, 23.0), (61.0, 23.0), (60.0, 23.0), (59.0, 23.0), (58.0, 23.0), (57.0, 23.0), (56.0, 23.0), (55.0, 23.0), (54.0, 23.0), (53.0, 23.0), (52.0, 23.0), (51.0, 23.0), (50.0, 23.0), (49.0, 23.0), (48.0, 23.0), (47.0, 23.0), (46.0, 23.0), (45.0, 23.0), (44.0, 23.0), (43.0, 23.0), (42.0, 23.0), (41.0, 23.0), (40.0, 23.0), (39.0, 23.0), (38.0, 23.0), (37.0, 23.0), (36.0, 23.0), (35.0, 23.0), (34.0, 23.0), (33.0, 23.0), (32.0, 23.0), (31.0, 23.0), (30.0, 23.0), (29.0, 23.0), (28.0, 23.0), (27.0, 23.0), (26.0, 23.0), (25.0, 23.0), (24.0, 23.0), (23.0, 23.0), (22.0, 23.0), (21.0, 23.0), (20.0, 23.0), (19.0, 23.0), (18.0, 23.0), (17.0, 23.0), (17.0, 22.0), (17.0, 21.0), (17.0, 20.0), (17.0, 19.0), (17.0, 18.0), (17.0, 17.0), (17.0, 16.0), (17.0, 15.0), (17.0, 14.0), (17.0, 13.0), (17.0, 12.0), (17.0, 11.0), (17.0, 10.0)]"
"(95.0, 24.0)","(95.0, 10.0)","[(95.0, 24.0), (95.0, 23.0), (95.0, 22.0), (95.0, 21.0), (95.0, 20.0), (95.0, 19.0), (95.0, 18.0), (95.0, 17.0), (95.0, 16.0), (95.0, 15.0), (95.0, 14.0), (95.0, 13.0), (95.0, 12.0), (95.0, 11.0), (95.0, 10.0)]"
"(161.0, 10.0)","(161.0, 26.0)","[(161.0, 10.0), (161.0, 11.0), (161.0, 12.0), (161.0, 13.0), (161.0, 14.0), (161.0, 15.0), (161.0, 16.0), (161.0, 17.0), (161.0, 18.0), (161.0, 19.0), (161.0, 20.0), (161.0, 21.0), (161.0, 22.0), (161.0, 23.0), (161.0, 24.0), (161.0, 25.0), (161.0, 26.0)]"
"(161.0, 26.0)","(167.0, 44.0)","[(161.0, 26.0), (161.0, 27.0), (161.0, 28.0), (161.0, 29.0), (161.0, 30.0), (161.0, 31.0), (161.0, 32.0), (161.0, 33.0), (161.0, 34.0), (161.0, 35.0), (161.0, 36.0), (161.0, 37.0), (161.0, 38.0), (161.0, 39.0), (161.0, 40.0), (161.0, 41.0), (161.0, 42.0), (161.0, 43.0), (161.0, 44.0), (162.0, 44.0), (163.0, 44.0), (164.0, 44.0), (165.0, 44.0), (166.0, 44.0), (167.0, 44.0)]"
"(161.0, 26.0)","(99.0, 8.0)","[(161.0, 26.0), (160.0, 26.0), (159.0, 26.0), (158.0, 26.0), (157.0, 26.0), (156.0, 26.0), (155.0, 26.0), (154.0, 26.0), (153.0, 26.0), (152.0, 26.0), (151.0, 26.0), (150.0, 26.0), (149.0, 26.0), (148.0, 26.0), (147.0, 26.0), (146.0, 26.0), (145.0, 26.0), (144.0, 26.0), (143.0, 26.0), (142.0, 26.0), (141.0, 26.0), (140.0, 26.0), (139.0, 26.0), (138.0, 26.0), (137.0, 26.0), (136.0, 26.0), (135.0, 26.0), (134.0, 26.0), (133.0, 26.0), (132.0, 26.0), (131.0, 26.0), (130.0, 26.0), (129.0, 26.0), (128.0, 26.0), (127.0, 26.0), (126.0, 26.0), (125.0, 26.0), (124.0, 26.0), (123.0, 26.0), (122.0, 26.0), (121.0, 26.0), (120.0, 26.0), (119.0, 26.0), (118.0, 26.0), (117.0, 26.0), (116.0, 26.0), (115.0, 26.0), (114.0, 26.0), (113.0, 26.0), (112.0, 26.0), (111.0, 26.0), (110.0, 26.0), (109.0, 26.0), (108.0, 26.0), (107.0, 26.0), (106.0, 26.0), (105.0, 26.0), (104.0, 26.0), (103.0, 26.0), (103.0, 25.0), (102.0, 25.0), (101.0, 25.0), (100.0, 25.0), (99.0, 25.0), (99.0, 24.0), (99.0, 23.0), (99.0, 22.0), (99.0, 21.0), (99.0, 20.0), (99.0, 19.0), (99.0, 18.0), (99.0, 17.0), (99.0, 16.0), (99.0, 15.0), (99.0, 14.0), (99.0, 13.0), (99.0, 12.0), (99.0, 11.0), (99.0, 10.0), (99.0, 9.0), (99.0, 8.0)]"
"(105.0, 10.0)","(105.0, 22.0)","[(105.0, 10.0), (105.0, 11.0), (105.0, 12.0), (105.0, 13.0), (105.0, 14.0), (105.0, 15.0), (105.0, 16.0), (105.0, 17.0), (105.0, 18.0), (105.0, 19.0), (105.0, 20.0), (105.0, 21.0), (105.0, 22.0)]"
"(105.0, 22.0)","(143.0, 10.0)","[(105.0, 22.0), (106.0, 22.0), (107.0, 22.0), (108.0, 22.0), (109.0, 22.0), (110.0, 22.0), (111.0, 22.0), (112.0, 22.0), (113.0, 22.0), (114.0, 22.0), (115.0, 22.0), (116.0, 22.0), (117.0, 22.0), (118.0, 22.0), (119.0, 22.0), (120.0, 22.0), (121.0, 22.0), (122.0, 22.0), (123.0, 22.0), (123.0, 21.0), (123.0, 20.0), (123.0, 19.0), (123.0, 18.0), (123.0, 17.0), (123.0, 16.0), (123.0, 15.0), (123.0, 14.0), (123.0, 13.0), (123.0, 12.0), (123.0, 11.0), (124.0, 11.0), (125.0, 11.0), (126.0, 11.0), (127.0, 11.0), (128.0, 11.0), (129.0, 11.0), (130.0, 11.0), (131.0, 11.0), (132.0, 11.0), (133.0, 11.0), (134.0, 11.0), (135.0, 11.0), (136.0, 11.0), (137.0, 11.0), (138.0, 11.0), (138.0, 10.0), (139.0, 10.0), (140.0, 10.0), (141.0, 10.0), (142.0, 10.0), (143.0, 10.0)]"
"(105.0, 22.0)","(101.0, 26.0)","[(105.0, 22.0), (104.0, 22.0), (103.0, 22.0), (102.0, 22.0), (101.0, 22.0), (101.0, 23.0), (101.0, 24.0), (101.0, 25.0), (101.0, 26.0)]"
"(137.0, 10.0)","(101.0, 10.0)","[(137.0, 10.0), (136.0, 10.0), (135.0, 10.0), (134.0, 10.0), (133.0, 10.0), (132.0, 10.0), (131.0, 10.0), (130.0, 10.0), (129.0, 10.0), (128.0, 10.0), (127.0, 10.0), (126.0, 10.0), (125.0, 10.0), (124.0, 10.0), (123.0, 10.0), (122.0, 10.0), (121.0, 10.0), (120.0, 10.0), (119.0, 10.0), (118.0, 10.0), (117.0, 10.0), (116.0, 10.0), (115.0, 10.0), (114.0, 10.0), (113.0, 10.0), (112.0, 10.0), (111.0, 10.0), (110.0, 10.0), (109.0, 10.0), (108.0, 10.0), (107.0, 10.0), (107.0, 9.0), (106.0, 9.0), (105.0, 9.0), (104.0, 9.0), (103.0, 9.0), (102.0, 9.0), (101.0, 9.0), (101.0, 10.0)]"
"(101.0, 10.0)","(99.0, 28.0)","[(101.0, 10.0), (100.0, 10.0), (100.0, 11.0), (100.0, 12.0), (100.0, 13.0), (100.0, 14.0), (100.0, 15.0), (100.0, 16.0), (100.0, 17.0), (100.0, 18.0), (100.0, 19.0), (100.0, 20.0), (100.0, 21.0), (100.0, 22.0), (100.0, 23.0), (100.0, 24.0), (100.0, 25.0), (100.0, 26.0), (99.0, 26.0), (99.0, 27.0), (99.0, 28.0)]"
"(101.0, 10.0)","(65.0, 10.0)","[(101.0, 10.0), (101.0, 9.0), (100.0, 9.0), (99.0, 9.0), (98.0, 9.0), (97.0, 9.0), (96.0, 9.0), (95.0, 9.0), (94.0, 9.0), (93.0, 9.0), (92.0, 9.0), (91.0, 9.0), (90.0, 9.0), (89.0, 9.0), (88.0, 9.0), (87.0, 9.0), (86.0, 9.0), (85.0, 9.0), (84.0, 9.0), (83.0, 9.0), (82.0, 9.0), (81.0, 9.0), (80.0, 9.0), (79.0, 9.0), (78.0, 9.0), (77.0, 9.0), (76.0, 9.0), (75.0, 9.0), (74.0, 9.0), (73.0, 9.0), (72.0, 9.0), (71.0, 9.0), (70.0, 9.0), (69.0, 9.0), (68.0, 9.0), (67.0, 9.0), (66.0, 9.0), (65.0, 9.0), (65.0, 10.0)]"
"(157.0, 8.0)","(141.0, 8.0)","[(157.0, 8.0), (156.0, 8.0), (155.0, 8.0), (154.0, 8.0), (153.0, 8.0), (152.0, 8.0), (151.0, 8.0), (150.0, 8.0), (149.0, 8.0), (148.0, 8.0), (147.0, 8.0), (146.0, 8.0), (145.0, 8.0), (144.0, 8.0), (143.0, 8.0), (142.0, 8.0), (141.0, 8.0)]"
